frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
19,3.0,[669.5854546115619 1491.0206933424429 1394.0743691189946 2143.5322410779486],[930.9837036132812 1917.9039306640625 1129.318603515625 1998.5142822265625],0.5483497381210327,NA13NRU,0.5583406658823518
20,3.0,[666.3378608851226 1496.8748745007006 1392.744689803254 2148.6518331313628],[930.364013671875 1930.319091796875 1141.0096435546875 2011.096435546875],0.5850465297698975,NA13NRU,0.2224265665214912
21,3.0,[660.3425120382024 1506.1709346340085 1388.3615755873732 2153.3481530219824],[901.8092651367188 1934.5224609375 1130.6690673828125 2025.267333984375],0.5996658205986023,NA13NRU,0.4155178436938272
21,5.0,[2204.643473664717 1252.4664107735002 2842.488283112585 1872.0854250397242],[2435.95751953125 1681.16064453125 2615.798583984375 1758.306640625],0.586431622505188,CD51VSU,0.1715260170064919
23,3.0,[652.4759620372145 1515.6715072408074 1383.469881110879 2156.154376269189],[911.3798217773438 1958.1300048828125 1134.6864013671875 2038.95458984375],0.5714389681816101,NA13MRU,0.8409988583600126
24,5.0,[2208.2419945735896 1266.4767150765879 2855.289401815115 1894.0031230895293],[2447.6611328125 1698.626953125 2616.55615234375 1777.4029541015625],0.5596683621406555,MT51VSU,0.3126153684263244
24,3.0,[649.9763496733592 1520.5254345162427 1381.850719372083 2156.1908300752616],[915.9863891601562 1971.8082275390625 1110.4263916015625 2044.4007568359375],0.4985117018222809,NA13NRU,0.3684536436427626
25,5.0,[2208.0177960637843 1266.872760223231 2858.5489975323676 1898.762905329472],[2447.617431640625 1704.8221435546875 2623.445068359375 1788.8748779296875],0.6151807308197021,MT51VSU,0.1408639970743979
25,3.0,[648.2378877116668 1525.916712742447 1380.4295981077776 2156.275051636594],[893.6976928710938 1976.90087890625 1129.59423828125 2056.74365234375],0.6016313433647156,NA13MRU,0.2975571454975227
26,3.0,[645.1773119022273 1533.234984585047 1380.250316110515 2157.465351387762],[897.741943359375 1983.123779296875 1127.5048828125 2067.99609375],0.5902883410453796,NA13NRU,0.2162859068209492
28,3.0,[639.9583885678433 1546.5656596141173 1378.9820637660796 2156.873077250839],[896.212646484375 2003.135009765625 1128.19482421875 2082.476806640625],0.572606086730957,NA13MRU,0.32119236657935274
29,5.0,[2208.7001138856176 1278.6589216618463 2864.639476837716 1928.2745242870396],[2449.91015625 1736.9183349609375 2627.87548828125 1810.5384521484375],0.6182131171226501,HV51VSU,0.1163010164341414
29,6.0,[1170.5445795075098 1095.5047368883788 1720.5147358227337 1542.175976140546],[1373.7747802734375 1364.5030517578125 1517.6246337890625 1436.1463623046875],0.4558570086956024,GM15OCJ,0.08588731449939802
33,3.0,[622.1022323201222 1584.9490593434718 1364.8301209512165 2156.161302783086],[854.8890380859375 2061.0322265625 1104.470947265625 2141.192626953125],0.46768826246261597,NA13NRU,0.4143513007826405
35,5.0,[2217.917959393465 1315.3028505081277 2875.3459328066747 1976.5231378814112],[2455.05322265625 1774.811279296875 2641.426025390625 1855.01806640625],0.5993062257766724,IJ51ISU,0.032113722126488164
35,3.0,[604.508445303032 1600.1792888287519 1357.9273834708629 2156.8981377686846],[871.1390991210938 2084.24560546875 1101.595947265625 2147.209716796875],0.4154168367385864,MA13NRU,0.4753350143699631
43,5.0,[2221.1178697760147 1369.7065863149578 2899.373534734055 2045.8264001556972],[2464.131103515625 1831.2242431640625 2658.96630859375 1914.2728271484375],0.6186820864677429,LE51NSU,0.025409922315317832
45,6.0,[1125.021164984444 1153.0220123150739 1706.800096097984 1615.162752596636],[1343.89501953125 1437.6763916015625 1477.252197265625 1512.3284912109375],0.5431205034255981,GY15OGJ,0.2081932154338151
46,6.0,[1121.8966336549538 1157.6019675361067 1705.5814664099817 1621.049001763226],[1337.8385009765625 1443.268798828125 1481.4525146484375 1515.7840576171875],0.5499179363250732,GY15OCJ,0.22547865455460014
47,6.0,[1121.098037098658 1161.0901154791882 1707.9979455453404 1626.076242475921],[1339.10009765625 1452.1572265625 1484.747314453125 1514.31201171875],0.49879515171051025,GY15OGJ,0.3820622077186657
48,6.0,[1118.8241179778304 1164.41238835971 1707.819544372949 1631.931524332928],[1339.333984375 1456.543212890625 1480.451904296875 1519.34765625],0.5436299443244934,GY15OGJ,0.3542966692995928
49,6.0,[1115.2632478008263 1167.894880703207 1705.2933616411497 1636.5150741593093],[1339.0850830078125 1457.7880859375 1483.961669921875 1525.133544921875],0.5819889903068542,GX15OCJ,0.25356124491428644
50,6.0,[1115.435392160805 1171.1425716232966 1711.2535838910949 1643.0076240435278],[1346.1207275390625 1465.211181640625 1484.2972412109375 1537.923828125],0.5207390785217285,GX15OGJ,0.4965015045729265
52,5.0,[2233.9035726464417 1411.6496432624563 2941.721267912638 2110.778893316396],[2483.81005859375 1899.3797607421875 2683.0478515625 1984.0968017578125],0.6249836683273315,HV51VSU,0.37743771019539724
53,6.0,[1106.3678468798612 1182.0724925853242 1707.1824457242878 1663.2287349567732],[1334.268310546875 1472.871826171875 1480.0264892578125 1544.713623046875],0.3367093801498413,GX15CGJ,0.0862354977666127
55,6.0,[1100.210150340364 1186.8037548844995 1704.9648912885375 1672.1158107694164],[1321.01953125 1488.7215576171875 1471.896240234375 1558.1448974609375],0.5454742908477783,GX15OGJ,0.2682487035646191
57,6.0,[1089.7714546930483 1195.1037572008377 1703.4033263593974 1681.145107226554],[1315.3802490234375 1504.595947265625 1472.5924072265625 1565.811767578125],0.4471082389354706,GX15OCJ,0.3908455756633652
58,5.0,[2237.3237449777694 1453.820920013749 2954.1009297979213 2148.517867590938],[2495.93408203125 1948.0982666015625 2696.98095703125 2041.2169189453125],0.6402009725570679,MT51VSU,0.2618918865290466
